player_id,player_name,season,position_group,matches_played,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,tackles,interceptions,fouls_committed,yellow_cards,red_cards,minutes_per_match,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_completed_per90,passes_attempted_per90,tackles_per90,interceptions_per90,fouls_committed_per90,cards_per90,shot_accuracy,pass_accuracy,goal_conversion_rate,defensive_actions_per90,discipline_points_per90
player_c6eebb451f6f,Courtois,2021-2022,Goalkeeper,13,1230,0.0,0.0,,,365.0,483.0,,,,,,94.61538461538461,0.0,0.0,,,26.70731707317073,35.34146341463415,,,,0.0,,0.7556935817805382,,,
player_745563c4992c,Vinícius Júnior,2021-2022,Unknown,13,1199,4.0,6.0,27.0,8.0,377.0,451.0,11.0,29.0,13.0,0.0,1.0,92.23076923076923,0.3002502085070892,0.45037531276063386,2.0266889074228525,0.6005004170141784,28.298582151793163,33.85321100917431,0.8256880733944955,2.176814011676397,0.97581317764804,0.0750625521267723,0.2962962962962963,0.835920177383592,0.14814814814814814,3.0025020850708923,1.426188490408674
player_1c95313c2072,Benzema,2021-2022,Forward,12,1106,15.0,1.0,45.0,23.0,433.0,523.0,1.0,6.0,2.0,0.0,1.0,92.16666666666667,1.2206148282097649,0.081374321880651,3.661844484629295,1.8716094032549728,35.23508137432188,42.55877034358047,0.081374321880651,0.488245931283906,0.162748643761302,0.081374321880651,0.5111111111111111,0.8279158699808795,0.3333333333333333,0.569620253164557,0.650994575045208
player_8dbf145a0ac2,Modrić,2021-2022,Midfielder,13,1077,0.0,4.0,14.0,5.0,723.0,799.0,9.0,39.0,3.0,0.0,1.0,82.84615384615384,0.0,0.3342618384401114,1.16991643454039,0.4178272980501393,60.41782729805014,66.76880222841226,0.7520891364902507,3.2590529247910864,0.25069637883008355,0.08356545961002786,0.35714285714285715,0.904881101376721,0.0,4.011142061281337,0.7520891364902507
player_cb5b3166f2bd,Éder Militão,2021-2022,Unknown,12,1076,0.0,0.0,9.0,4.0,563.0,643.0,19.0,76.0,17.0,0.0,4.0,89.66666666666667,0.0,0.0,0.7527881040892194,0.3345724907063197,47.0910780669145,53.78252788104089,1.5892193308550187,6.356877323420075,1.4219330855018588,0.3345724907063197,0.4444444444444444,0.8755832037325039,0.0,7.946096654275093,3.429368029739777
player_c8b23cc3438d,Alaba,2021-2022,Defender,12,1040,1.0,0.0,5.0,1.0,606.0,657.0,18.0,49.0,9.0,0.0,1.0,86.66666666666667,0.08653846153846154,0.0,0.4326923076923077,0.08653846153846154,52.44230769230769,56.85576923076923,1.5576923076923077,4.240384615384615,0.7788461538461539,0.08653846153846154,0.2,0.9223744292237442,0.2,5.798076923076923,1.2980769230769231
player_5fb296fb3d2e,Carvajal,2021-2022,Defender,11,959,0.0,1.0,5.0,2.0,503.0,576.0,12.0,50.0,15.0,0.0,3.0,87.18181818181819,0.0,0.09384775808133472,0.4692387904066736,0.18769551616266944,47.20542231491137,54.0563086548488,1.1261730969760166,4.692387904066736,1.407716371220021,0.28154327424400416,0.4,0.8732638888888888,0.0,5.818561001042753,3.096976016684046
player_dd5735717a3e,Casemiro,2021-2022,Unknown,11,914,0.0,0.0,10.0,2.0,482.0,538.0,31.0,76.0,17.0,0.0,3.0,83.0909090909091,0.0,0.0,0.9846827133479212,0.19693654266958424,47.461706783369806,52.97592997811816,3.052516411378556,7.483588621444201,1.6739606126914661,0.29540481400437635,0.2,0.895910780669145,0.0,10.536105032822757,3.446389496717724
player_2fe8b83d60b5,Kroos,2021-2022,Midfielder,12,902,2.0,0.0,12.0,7.0,752.0,814.0,11.0,37.0,7.0,0.0,0.0,75.16666666666667,0.19955654101995565,0.0,1.1973392461197339,0.6984478935698448,75.03325942350332,81.21951219512195,1.0975609756097562,3.6917960088691797,0.6984478935698448,0.0,0.5833333333333334,0.9238329238329238,0.16666666666666666,4.789356984478935,0.6984478935698448
player_8bd45e8a3c29,Mendy,2021-2022,Defender,10,867,0.0,2.0,2.0,0.0,376.0,413.0,6.0,36.0,7.0,0.0,3.0,86.7,0.0,0.20761245674740483,0.20761245674740483,0.0,39.03114186851211,42.8719723183391,0.6228373702422145,3.737024221453287,0.726643598615917,0.31141868512110726,0.0,0.910411622276029,0.0,4.359861591695502,2.5951557093425603
player_1732ec7c06e5,Valverde,2021-2022,Midfielder,11,804,0.0,1.0,9.0,0.0,336.0,395.0,13.0,29.0,4.0,0.0,2.0,73.0909090909091,0.0,0.11194029850746269,1.007462686567164,0.0,37.61194029850746,44.21641791044776,1.455223880597015,3.246268656716418,0.44776119402985076,0.22388059701492538,0.0,0.850632911392405,0.0,4.701492537313433,1.791044776119403
player_b623e24add2f,Nacho,2021-2022,Unknown,9,574,0.0,0.0,1.0,0.0,283.0,304.0,10.0,27.0,7.0,0.0,2.0,63.77777777777778,0.0,0.0,0.156794425087108,0.0,44.37282229965157,47.66550522648084,1.5679442508710801,4.2334494773519165,1.0975609756097562,0.313588850174216,0.0,0.930921052631579,0.0,5.801393728222997,2.9790940766550524
player_2ff5e674cf5b,Rodrygo,2021-2022,Unknown,11,505,5.0,2.0,23.0,10.0,183.0,209.0,2.0,14.0,5.0,0.0,1.0,45.90909090909091,0.8910891089108911,0.3564356435643564,4.099009900990099,1.7821782178217822,32.613861386138616,37.24752475247525,0.3564356435643564,2.495049504950495,0.8910891089108911,0.1782178217821782,0.43478260869565216,0.8755980861244019,0.21739130434782608,2.8514851485148514,1.9603960396039604
